Task Id,Task Name,Team Leaders,Lead GP/Global Themes,Region,Country,Approval FY,Product Line,Lending Project Status,Sectors (Level 1),Sectors (Level 2),Themes (Level 1),Themes (Level 2),Themes (Level 3)
P177632,State of Goias Sustainable Recovery DPF,Fabiano Colbano (ADM);Cornelius Fleischhaker;Marie Paviot,"Macroeconomics, Trade and Investment",LCR,Brazil,2022,PE,Actual,"&&Agriculture (28%)
&&Public Admin (58%)
&&Financial Sector (14%)","&&Agric ext & research (14%)
&&Other Agri, Forestry (14%)
&&Sub National Governm (29%)
&&Other Public Adminis (29%)
&&Insurance & Pension (14%)","&&FY17 - Economic Policy
&&FY17 - Private Sector Development
&&FY17 - Public Sector Management
&&FY17 - Human Development and Gender
&&FY17 - Urban and Rural Development
&&FY17 - Environment and Natural Resource Management","&&FY17 - Fiscal Policy (29%)
&&FY17 - Enterprise Development (14%)
&&FY17 - Public Finance Management (14%)
&&FY17 - Public Administration (14%)
&&FY17 - Gender (29%)
&&FY17 - Rural Development (43%)
&&FY17 - Disaster Risk Management (11%)
&&FY17 - Climate change (46%)
&&FY17 - Environmental policies and institutions (43%)","&&FY17 - Fiscal sustainability (29%)
&&FY17 - Global value chains (14%)
&&FY17 - Public Expenditure Management (14%)
&&FY17 - Administrative and Civil Service Reform (14%)
&&FY17 - Rural Markets (29%)
&&FY17 - Land Policy and Tenure (14%)
&&FY17 - Flood and Drought Risk Management (11%)
&&FY17 - Mitigation (36%)
&&FY17 - Adaptation (11%)"
P177957,BR DGM for IPTCs - Phase 2,Alberto Costa (ADM);Maria Lange,"Environment, Natural Resources & the Blue Economy",LCR,Brazil,2023,RE,Actual,&&Agriculture (100%),"&&PA Agri,Fish&Forest (19%)
&&Forestry (81%)","&&FY17 - Social Development and Protection
&&FY17 - Human Development and Gender
&&FY17 - Environment and Natural Resource Management","&&FY17 - Social Inclusion (100%)
&&FY17 - Nutrition and Food Security (89%)
&&FY17 - Climate change (100%)
&&FY17 - Renewable Natural Resources Asset Management (100%)
&&FY17 - Environmental policies and institutions (100%)","&&FY17 - Indigenous People and Ethnic Minorities (100%)
&&FY17 - Participation and Civic Engagement (100%)
&&FY17 - Food Security (89%)
&&FY17 - Mitigation (50%)
&&FY17 - Adaptation (50%)
&&FY17 - Forests Policies and institutions (100%)
&&FY17 - Biodiversity (100%)"
P178072,Centro+4D,Emanuela Monteiro (ADM);Hannah Kim;Tais Fonseca De Medeiros,"Urban, Resilience and Land",LCR,Brazil,2023,PE,Actual,"&&Public Admin (89%)
&&Social Protection (10%)
&&Transportation (1%)","&&Sub National Governm (89%)
&&Social Protection (10%)
&&Urban Transport (1%)","&&FY17 - Economic Policy
&&FY17 - Social Development and Protection
&&FY17 - Human Development and Gender
&&FY17 - Urban and Rural Development
&&FY17 - Environment and Natural Resource Management","&&FY17 - Economic Growth and Planning (89%)
&&FY17 - Social Protection (18%)
&&FY17 - Gender (18%)
&&FY17 - Urban Development (90%)
&&FY17 - Road Safety (89%)
&&FY17 - Disaster Risk Management (89%)
&&FY17 - Climate change (83%)","&&FY17 - Green Growth (89%)
&&FY17 - Social Safety Nets (18%)
&&FY17 - Urban Infrastructure and Service Delivery (89%)
&&FY17 - Urban Planning (10%)
&&FY17 - Municipal Finance (10%)
&&FY17 - Flood and Drought Risk Management (89%)
&&FY17 - Mitigation (59%)
&&FY17 - Adaptation (24%)"
P178339,Progestão Mato Grosso,Carolina Vaira (ADM),Governance,LCR,Brazil,2023,PE,Actual,"&&Public Admin (86%)
&&Health (10%)
&&Social Protection (4%)","&&Sub National Governm (86%)
&&PA Health (10%)
&&Social Protection (4%)","&&FY17 - Private Sector Development
&&FY17 - Public Sector Management
&&FY17 - Social Development and Protection
&&FY17 - Human Development and Gender
&&FY17 - Environment and Natural Resource Management","&&FY17 - ICT (50%)
&&FY17 - Public Administration (86%)
&&FY17 - Social Protection (8%)
&&FY17 - Health Systems and Policies (18%)
&&FY17 - Climate change (8%)","&&FY17 - ICT Solutions (50%)
&&FY17 - Administrative and Civil Service Reform (22%)
&&FY17 - E-Government, incl. e-services (24%)
&&FY17 - Public Assets and Investment Management (48%)
&&FY17 - Social Safety Nets (8%)
&&FY17 - Health System Strengthening (14%)
&&FY17 - Health Finance (14%)
&&FY17 - Mitigation (8%)
&&FY17 - Adaptation (1%)"
P178557,AMFRI Integrated Sustainable Mobility,Carlos Bellas Lamas (ADM);Georges Darido;Tais Fonseca De Medeiros,Transport,LCR,Brazil,2024,PE,Actual,&&Transportation (100%),"&&Urban Transport (91%)
&&PA Transportation (9%)","&&FY17 - Environment and Natural Resource Management
&&FY17 - Urban and Rural Development
&&FY17 - Human Development and Gender
&&FY17 - Private Sector Development
&&FY17 - Public Sector Management","&&FY17 - Climate change (95%)
&&FY17 - Disaster Risk Management (100%)
&&FY17 - Urban Development (100%)
&&FY17 - Road Safety (100%)
&&FY17 - Jobs (48%)
&&FY17 - Public Private Partnerships (13%)
&&FY17 - Gender (52%)
&&FY17 - Public Administration (57%)","&&FY17 - Adaptation (5%)
&&FY17 - Mitigation (90%)
&&FY17 - Urban Infrastructure and Service Delivery (100%)
&&FY17 - Disaster Response and Recovery (57%)
&&FY17 - Flood and Drought Risk Management (48%)
&&FY17 - Disaster Risk Reduction (13%)
&&FY17 - Public Transport (100%)
&&FY17 - Urban Planning (13%)
&&FY17 - Job Creation (48%)
&&FY17 - Municipal Institution Building (57%)"
P178563,Brazil: Education Recovery from COVID-19,Ildo Lautharte Junior (ADM);Marcelo Becerra,Education,LCR,Brazil,2022,PE,Actual,"&&Public Admin (17%)
&&Education (83%)","&&Sub National Governm (1%)
&&Other Public Adminis (16%)
&&Public Adm Education (45%)
&&Other Education (38%)","&&FY17 - Private Sector Development
&&FY17 - Human Development and Gender
&&FY17 - Urban and Rural Development
&&FY17 - Environment and Natural Resource Management","&&FY17 - ICT (16%)
&&FY17 - Gender (34%)
&&FY17 - Disease Control (90%)
&&FY17 - Education (60%)
&&FY17 - Labor Market Policy and Programs (8%)
&&FY17 - Disaster Risk Management (80%)
&&FY17 - Climate change (8%)","&&FY17 - ICT Solutions (16%)
&&FY17 - Pandemic Response (90%)
&&FY17 - Access to Education (10%)
&&FY17 - Education Financing (18%)
&&FY17 - Teachers (30%)
&&FY17 - Education Governance, School-Based Management (34%)
&&FY17 - Standards, Curriculum and Textbooks (28%)
&&FY17 - Education Facilities (12%)
&&FY17 - Skills Development (8%)
&&FY17 - Disaster Response and Recovery (10%)
&&FY17 - Disaster Risk Reduction (16%)
&&FY17 - Disaster Preparedness (64%)
&&FY17 - Flood and Drought Risk Management (16%)
&&FY17 - Adaptation (8%)"
P178567,Piauí Health and Social Protection,Daniela Pena De Lima (ADM),"Health, Nutrition & Population",LCR,Brazil,2024,PE,Actual,"&&Health (68%)
&&Social Protection (32%)","&&PA Health (9%)
&&Health (59%)
&&Social Protection (32%)","&&FY17 - Urban and Rural Development
&&FY17 - Human Development and Gender
&&FY17 - Private Sector Development
&&FY17 - Environment and Natural Resource Management
&&FY17 - Social Development and Protection","&&FY17 - Health Systems and Policies (68%)
&&FY17 - Gender (64%)
&&FY17 - Social Protection (45%)
&&FY17 - Jobs (41%)
&&FY17 - Disaster Risk Management (100%)
&&FY17 - Climate change (10%)
&&FY17 - Nutrition and Food Security (13%)","&&FY17 - Nutrition (13%)
&&FY17 - Health Service Delivery (64%)
&&FY17 - Health System Strengthening (64%)
&&FY17 - Social protection delivery systems (41%)
&&FY17 - Child Health (13%)
&&FY17 - Social Safety Nets (45%)
&&FY17 - Flood and Drought Risk Management (100%)
&&FY17 - Food Security (13%)
&&FY17 - Adaptation (9%)
&&FY17 - Mitigation (1%)"
P178663,Progestão Piauí,Rovane Battaglin Schwengber (ADM);Sadia Afolabi,Social Protection & Jobs,LCR,Brazil,2024,PE,Actual,"&&Public Admin (47%)
&&Financial Sector (4%)
&&Health (16%)
&&Social Protection (17%)
&&Info & Communication (16%)","&&Central Government (47%)
&&ICT Services (16%)
&&Insurance & Pension (4%)
&&Health (16%)
&&Social Protection (17%)","&&FY17 - Human Development and Gender
&&FY17 - Public Sector Management
&&FY17 - Social Development and Protection
&&FY17 - Private Sector Development","&&FY17 - ICT (31%)
&&FY17 - Rule of Law (8%)
&&FY17 - Public Finance Management (33%)
&&FY17 - Public Administration (35%)
&&FY17 - Health Systems and Policies (19%)
&&FY17 - Education (14%)
&&FY17 - Social Protection (21%)","&&FY17 - Education Governance, School-Based Management (14%)
&&FY17 - Health Service Delivery (19%)
&&FY17 - Health Finance (19%)
&&FY17 - Social protection delivery systems (21%)
&&FY17 - ICT Policies (31%)
&&FY17 - ICT Solutions (20%)
&&FY17 - Public Expenditure Management (33%)
&&FY17 - Judicial and other Dispute Resolution Mechanisms (8%)
&&FY17 - Public Assets and Investment Management (35%)
&&FY17 - Social Insurance and Pensions (8%)
&&FY17 - Municipal Institution Building (19%)"
P178729,Mun. RJ Adjustment and Sust. development,Fabiano Colbano (ADM);Ana Waksberg Guerrini,"Macroeconomics, Trade and Investment",LCR,Brazil,2022,PE,Actual,"&&Public Admin (57%)
&&Financial Sector (14%)
&&Transportation (29%)","&&Sub National Governm (43%)
&&Other Public Adminis (14%)
&&Insurance & Pension (14%)
&&Urban Transport (29%)","&&FY17 - Economic Policy
&&FY17 - Private Sector Development
&&FY17 - Public Sector Management
&&FY17 - Social Development and Protection
&&FY17 - Human Development and Gender
&&FY17 - Urban and Rural Development
&&FY17 - Environment and Natural Resource Management","&&FY17 - Fiscal Policy (29%)
&&FY17 - ICT (14%)
&&FY17 - Public Finance Management (14%)
&&FY17 - Public Administration (29%)
&&FY17 - Social Protection (14%)
&&FY17 - Gender (14%)
&&FY17 - Urban Development (57%)
&&FY17 - Road Safety (14%)
&&FY17 - Disaster Risk Management (14%)
&&FY17 - Climate change (50%)
&&FY17 - Environmental Health and Pollution Management (14%)
&&FY17 - Energy (14%)","&&FY17 - Fiscal sustainability (14%)
&&FY17 - Tax policy (14%)
&&FY17 - ICT Solutions (14%)
&&FY17 - Domestic Revenue Administration (14%)
&&FY17 - Administrative and Civil Service Reform (14%)
&&FY17 - Municipal Institution Building (14%)
&&FY17 - Social Insurance and Pensions (14%)
&&FY17 - Urban Infrastructure and Service Delivery (57%)
&&FY17 - Public Transport (43%)
&&FY17 - Disaster Risk Reduction (14%)
&&FY17 - Disaster Preparedness (14%)
&&FY17 - Mitigation (46%)
&&FY17 - Adaptation (4%)
&&FY17 - Air quality management (14%)
&&FY17 - Energy Efficiency (14%)"
P178888,Brazil Climate Finance Project,Gabriel Sensenbrenner (ADM);Eli Weiss,"Finance, Competitiveness and Innovation",LCR,Brazil,2023,PE,Actual,&&Public Admin (100%),&&Other Public Adminis (100%),"&&FY17 - Economic Policy
&&FY17 - Finance
&&FY17 - Environment and Natural Resource Management","&&FY17 - Fiscal Policy (100%)
&&FY17 - Economic Growth and Planning (100%)
&&FY17 - Financial Infrastructure and Access (100%)
&&FY17 - Finance for Development (100%)
&&FY17 - Climate change (100%)
&&FY17 - Environmental policies and institutions (100%)","&&FY17 - Fiscal sustainability (81%)
&&FY17 - Debt Policy (20%)
&&FY17 - Green Growth (81%)
&&FY17 - MSME Finance (81%)
&&FY17 - Agriculture Finance (81%)
&&FY17 - Infrastructure Finance (20%)
&&FY17 - Mitigation (100%)"
P178993,MT Sustainable Learning,Leandro Oliveira Costa (ADM),Education,LCR,Brazil,2024,PE,Actual,&&Education (100%),"&&Public Adm Education (6%)
&&Secondary Education (21%)
&&Other Education (73%)","&&FY17 - Human Development and Gender
&&FY17 - Urban and Rural Development
&&FY17 - Environment and Natural Resource Management","&&FY17 - Rural Development (10%)
&&FY17 - Gender (75%)
&&FY17 - Education (100%)
&&FY17 - Climate change (7%)
&&FY17 - Disaster Risk Management (44%)","&&FY17 - Education Financing (11%)
&&FY17 - Disaster Preparedness (44%)
&&FY17 - Standards, Curriculum and Textbooks (42%)
&&FY17 - Education Facilities (88%)
&&FY17 - Teachers (49%)
&&FY17 - Geospatial Services (10%)
&&FY17 - Adaptation (6%)
&&FY17 - Mitigation (1%)
&&FY17 - Education Governance, School-Based Management (100%)"
P179046,Progestao Acre,Sadia Afolabi (ADM);Carolina Vaira,Governance,LCR,Brazil,2024,PE,Actual,"&&Public Admin (71%)
&&Education (9%)
&&Health (12%)
&&Social Protection (8%)","&&Central Government (30%)
&&Sub National Governm (41%)
&&Public Adm Education (9%)
&&PA Health (12%)
&&PA Social Proctectn (8%)","&&FY17 - Private Sector Development
&&FY17 - Public Sector Management
&&FY17 - Social Development and Protection
&&FY17 - Human Development and Gender","&&FY17 - ICT (54%)
&&FY17 - Public Finance Management (20%)
&&FY17 - Public Administration (34%)
&&FY17 - Social Protection (13%)
&&FY17 - Health Systems and Policies (17%)
&&FY17 - Education (13%)","&&FY17 - ICT Solutions (54%)
&&FY17 - Public Expenditure Management (20%)
&&FY17 - Administrative and Civil Service Reform (21%)
&&FY17 - Public Assets and Investment Management (34%)
&&FY17 - State-owned Enterprise Reform and Privatization (9%)
&&FY17 - Municipal Institution Building (25%)
&&FY17 - Social Insurance and Pensions (9%)
&&FY17 - Social protection delivery systems (8%)
&&FY17 - Health System Strengthening (17%)
&&FY17 - Health Finance (17%)
&&FY17 - Education Governance, School-Based Management (13%)"
P179088,Progestão Tocantins,Sadia Afolabi (ADM);Carolina Vaira,Governance,LCR,Brazil,2024,PE,Actual,"&&Public Admin (69%)
&&Education (9%)
&&Health (14%)
&&Social Protection (8%)","&&Central Government (41%)
&&Sub National Governm (28%)
&&Public Adm Education (9%)
&&PA Health (14%)
&&PA Social Proctectn (8%)","&&FY17 - Private Sector Development
&&FY17 - Public Sector Management
&&FY17 - Social Development and Protection
&&FY17 - Human Development and Gender","&&FY17 - ICT (31%)
&&FY17 - Public Finance Management (19%)
&&FY17 - Public Administration (31%)
&&FY17 - Social Protection (8%)
&&FY17 - Health Systems and Policies (19%)
&&FY17 - Education (13%)","&&FY17 - ICT Solutions (31%)
&&FY17 - Public Expenditure Management (19%)
&&FY17 - Administrative and Civil Service Reform (27%)
&&FY17 - E-Government, incl. e-services (19%)
&&FY17 - Public Assets and Investment Management (31%)
&&FY17 - Municipal Institution Building (13%)
&&FY17 - Social Insurance and Pensions (4%)
&&FY17 - Social protection delivery systems (8%)
&&FY17 - Health System Strengthening (19%)
&&FY17 - Health Finance (19%)
&&FY17 - Education Governance, School-Based Management (13%)"
P179182,2nd Rio Fiscal and Sustainable DPL,Ana Waksberg Guerrini (ADM);Aiga Stokenberga;Fabiano Colbano,Transport,LCR,Brazil,2024,PE,Actual,"&&Public Admin (56%)
&&Social Protection (6%)
&&Transportation (38%)","&&Sub National Governm (31%)
&&Other Public Adminis (25%)
&&Social Protection (6%)
&&Urban Transport (38%)","&&FY17 - Economic Policy
&&FY17 - Private Sector Development
&&FY17 - Public Sector Management
&&FY17 - Social Development and Protection
&&FY17 - Human Development and Gender
&&FY17 - Urban and Rural Development
&&FY17 - Environment and Natural Resource Management","&&FY17 - Fiscal Policy (13%)
&&FY17 - Economic Growth and Planning (25%)
&&FY17 - Public Private Partnerships (13%)
&&FY17 - Rule of Law (13%)
&&FY17 - Public Administration (38%)
&&FY17 - Social Protection (13%)
&&FY17 - Gender (25%)
&&FY17 - Urban Development (50%)
&&FY17 - Road Safety (13%)
&&FY17 - Disaster Risk Management (25%)
&&FY17 - Climate change (58%)
&&FY17 - Environmental Health and Pollution Management (13%)
&&FY17 - Environmental policies and institutions (13%)","&&FY17 - Fiscal sustainability (13%)
&&FY17 - Green Growth (25%)
&&FY17 - Judicial and other Dispute Resolution Mechanisms (13%)
&&FY17 - Administrative and Civil Service Reform (13%)
&&FY17 - Transparency, Accountability and Good Governance (13%)
&&FY17 - Municipal Institution Building (13%)
&&FY17 - Social Insurance and Pensions (13%)
&&FY17 - Urban Infrastructure and Service Delivery (25%)
&&FY17 - Public Transport (50%)
&&FY17 - Urban Planning (13%)
&&FY17 - Municipal Finance (13%)
&&FY17 - Disaster Risk Reduction (13%)
&&FY17 - Flood and Drought Risk Management (13%)
&&FY17 - Mitigation (58%)
&&FY17 - Adaptation (0%)
&&FY17 - Air quality management (13%)"
P179365,Bolsa Familia 4,Josefina Posadas (ADM);Gabriel Lara Ibarra,Social Protection & Jobs,LCR,Brazil,2024,PE,Actual,&&Social Protection (100%),&&Social Protection (100%),"&&FY17 - Environment and Natural Resource Management
&&FY17 - Human Development and Gender
&&FY17 - Economic Policy
&&FY17 - Social Development and Protection","&&FY17 - Climate change (25%)
&&FY17 - Social Protection (100%)
&&FY17 - Economic Growth and Planning (100%)
&&FY17 - Nutrition and Food Security (100%)
&&FY17 - Gender (100%)","&&FY17 - Adaptation (25%)
&&FY17 - Food Security (100%)
&&FY17 - Social Safety Nets (100%)
&&FY17 - Social protection delivery systems (100%)
&&FY17 - Inclusive Growth (100%)"
P180430,Pernambuco Rural Water and Sanitation,Juliana Garrido (ADM);Marie-Laure Lajaunie,Water,LCR,Brazil,2024,PE,Actual,&&Water/Sanit/Waste (100%),"&&Sanitation (41%)
&&Water Supply (52%)
&&PA Water, Sanitation (7%)","&&FY17 - Urban and Rural Development
&&FY17 - Human Development and Gender
&&FY17 - Environment and Natural Resource Management","&&FY17 - Rural Development (100%)
&&FY17 - Water Resource Management (16%)
&&FY17 - Gender (81%)
&&FY17 - Climate change (34%)
&&FY17 - Disaster Risk Management (91%)","&&FY17 - Mitigation (1%)
&&FY17 - Rural Infrastructure and service delivery (89%)
&&FY17 - Rural Water and Sanitation (100%)
&&FY17 - Flood and Drought Risk Management (82%)
&&FY17 - Disaster Preparedness (15%)
&&FY17 - Adaptation (33%)
&&FY17 - Water Institutions, Policies and Reform (16%)"
P180462,Digital Espirito Santo,Julian Najles (ADM);Maria Pachon,Digital Development,LCR,Brazil,2024,PE,Actual,&&Info & Communication (100%),"&&PA Info Commu Tech (4%)
&&ICT Infrastructure (72%)
&&ICT Services (24%)","&&FY17 - Environment and Natural Resource Management
&&FY17 - Urban and Rural Development
&&FY17 - Social Development and Protection
&&FY17 - Private Sector Development
&&FY17 - Human Development and Gender","&&FY17 - Social Inclusion (8%)
&&FY17 - Gender (13%)
&&FY17 - ICT (100%)
&&FY17 - Climate change (87%)
&&FY17 - Disaster Risk Management (63%)","&&FY17 - ICT Solutions (100%)
&&FY17 - Participation and Civic Engagement (8%)
&&FY17 - ICT Policies (7%)
&&FY17 - Disaster Response and Recovery (63%)
&&FY17 - Mitigation (77%)
&&FY17 - Adaptation (10%)"
P180497,BR State of Ceará DPF,Fabiano Colbano (ADM);Megan Meyer,"Macroeconomics, Trade and Investment",LCR,Brazil,2024,PE,Actual,"&&Energy & Extractives (38%)
&&Public Admin (37%)
&&Education (25%)","&&Central Government (37%)
&&Secondary Education (11%)
&&Tertiary Education (1%)
&&Work Develop/Voca (13%)
&&Renewable Energy Bio (13%)
&&Mining (12%)
&&Renewable Energy Sol (13%)","&&FY17 - Urban and Rural Development
&&FY17 - Environment and Natural Resource Management
&&FY17 - Human Development and Gender
&&FY17 - Public Sector Management
&&FY17 - Economic Policy
&&FY17 - Private Sector Development","&&FY17 - Environmental policies and institutions (13%)
&&FY17 - Energy (63%)
&&FY17 - Climate change (54%)
&&FY17 - Public Finance Management (13%)
&&FY17 - Disaster Risk Management (25%)
&&FY17 - Education (25%)
&&FY17 - Labor Market Policy and Programs (13%)
&&FY17 - Rural Development (13%)
&&FY17 - Public Administration (38%)
&&FY17 - Jobs (13%)
&&FY17 - Economic Growth and Planning (13%)
&&FY17 - Fiscal Policy (13%)","&&FY17 - Access to Education (25%)
&&FY17 - Education Governance, School-Based Management (25%)
&&FY17 - Municipal Institution Building (13%)
&&FY17 - Transparency, Accountability and Good Governance (13%)
&&FY17 - Public Expenditure Management (13%)
&&FY17 - Job Creation (13%)
&&FY17 - Public Expenditure Policy (13%)
&&FY17 - Energy Policies & Reform (63%)
&&FY17 - Mitigation (51%)
&&FY17 - Flood and Drought Risk Management (25%)
&&FY17 - Land Administration and Management (13%)
&&FY17 - Science and Technology (13%)
&&FY17 - Adaptation (3%)
&&FY17 - Green Growth (13%)
&&FY17 - Skills Development (13%)
&&FY17 - Public Assets and Investment Management (25%)"
P500524,Avança Pará,Ildo Lautharte Junior (ADM);Arthur Amorim Braganca,Education,LCR,Brazil,2024,PE,Actual,"&&Info & Communication (4%)
&&Social Protection (45%)
&&Public Admin (4%)
&&Agriculture (8%)
&&Education (39%)","&&Forestry (8%)
&&Sub National Governm (1%)
&&Other Public Adminis (3%)
&&ICT Services (4%)
&&Primary Education (3%)
&&Secondary Education (5%)
&&Other Education (31%)
&&Social Protection (41%)
&&PA Social Proctectn (4%)","&&FY17 - Public Sector Management
&&FY17 - Human Development and Gender
&&FY17 - Urban and Rural Development
&&FY17 - Environment and Natural Resource Management
&&FY17 - Private Sector Development
&&FY17 - Social Development and Protection","&&FY17 - Urban Development (10%)
&&FY17 - Environmental policies and institutions (5%)
&&FY17 - Water Resource Management (4%)
&&FY17 - Nutrition and Food Security (33%)
&&FY17 - Education (46%)
&&FY17 - Public Administration (18%)
&&FY17 - ICT (14%)
&&FY17 - Gender (66%)
&&FY17 - Social Protection (49%)
&&FY17 - Social Inclusion (27%)
&&FY17 - Climate change (23%)
&&FY17 - Disaster Risk Management (29%)
&&FY17 - Renewable Natural Resources Asset Management (23%)","&&FY17 - Flood and Drought Risk Management (29%)
&&FY17 - Mitigation (19%)
&&FY17 - Water Institutions, Policies and Reform (4%)
&&FY17 - Biodiversity (7%)
&&FY17 - Adaptation (4%)
&&FY17 - Forests Policies and institutions (23%)
&&FY17 - ICT Policies (7%)
&&FY17 - ICT Solutions (14%)
&&FY17 - Science and Technology (9%)
&&FY17 - Access to Education (39%)
&&FY17 - Urban Infrastructure and Service Delivery (10%)
&&FY17 - Teachers (12%)
&&FY17 - Standards, Curriculum and Textbooks (12%)
&&FY17 - Education Facilities (37%)
&&FY17 - Nutrition (10%)
&&FY17 - Education Governance, School-Based Management (46%)
&&FY17 - Municipal Institution Building (18%)
&&FY17 - Social Safety Nets (49%)
&&FY17 - Food Security (33%)"
P166596,Burkina Faso Improving Education,Zacharie Ngueng (ADM),Education,AFW,Burkina Faso,2021,RE,Actual,&&Education (100%),"&&Early Childhood Educ (16%)
&&Public Adm Education (15%)
&&Primary Education (15%)
&&Other Education (54%)","&&FY17 - Public Sector Management
&&FY17 - Social Development and Protection
&&FY17 - Human Development and Gender","&&FY17 - Data Development and Capacity Building (46%)
&&FY17 - Social Inclusion (43%)
&&FY17 - Social Protection (100%)
&&FY17 - Gender (15%)
&&FY17 - Education (100%)","&&FY17 - Data production, accessibility and use (46%)
&&FY17 - Participation and Civic Engagement (43%)
&&FY17 - Disability (100%)
&&FY17 - Access to Education (72%)
&&FY17 - Teachers (57%)
&&FY17 - Standards, Curriculum and Textbooks (27%)
&&FY17 - Education Facilities (100%)"
P166785,SEAP,Regina Nesiama Miller (ADM);Raluca Golumbeanu;Leopold Sedogo,Energy & Extractives,AFW,Burkina Faso,2021,PE,Actual,&&Energy & Extractives (100%),"&&Energy Trans & Distr (60%)
&&Renewable Energy Sol (33%)
&&Oth Energy&Extrative (7%)","&&FY17 - Private Sector Development
&&FY17 - Human Development and Gender
&&FY17 - Urban and Rural Development
&&FY17 - Environment and Natural Resource Management","&&FY17 - Public Private Partnerships (33%)
&&FY17 - Enterprise Development (66%)
&&FY17 - Gender (7%)
&&FY17 - Disease Control (100%)
&&FY17 - Rural Development (94%)
&&FY17 - Climate change (51%)
&&FY17 - Energy (100%)","&&FY17 - MSME Development (66%)
&&FY17 - Pandemic Response (100%)
&&FY17 - Rural Infrastructure and service delivery (94%)
&&FY17 - Mitigation (33%)
&&FY17 - Adaptation (17%)
&&FY17 - Energy Efficiency (61%)
&&FY17 - Energy Policies & Reform (73%)
&&FY17 - Access to Energy (80%)"
P167945,Agriculture Resilience & Competitiveness,Idriss Serme (ADM),Agriculture and Food,AFW,Burkina Faso,2020,PE,Actual,"&&Agriculture (59%)
&&Transportation (12%)
&&Industry & Trade/Ser (29%)","&&Agric ext & research (2%)
&&Irrigation & drainag (43%)
&&PA Agri,Fish&Forest (14%)
&&Rural and Inter-Urba (12%)
&&Agricultural markets (29%)","&&FY17 - Private Sector Development
&&FY17 - Finance
&&FY17 - Human Development and Gender
&&FY17 - Urban and Rural Development
&&FY17 - Environment and Natural Resource Management","&&FY17 - Jobs (26%)
&&FY17 - Finance for Development (22%)
&&FY17 - Gender (29%)
&&FY17 - Nutrition and Food Security (3%)
&&FY17 - Rural Development (100%)
&&FY17 - Climate change (38%)","&&FY17 - Agriculture Finance (22%)
&&FY17 - Food Security (3%)
&&FY17 - Rural Markets (33%)
&&FY17 - Rural Infrastructure and service delivery (68%)
&&FY17 - Mitigation (2%)
&&FY17 - Adaptation (36%)"
P169267,BF: Strengthening Land & Mining Mgmt,Boubacar Bocoum (ADM);Andre Teyssier;Brahim Abdelwedoud,Energy & Extractives,AFW,Burkina Faso,2021,PE,Actual,"&&Agriculture (10%)
&&Public Admin (54%)
&&Energy & Extractives (36%)","&&PA Agri,Fish&Forest (10%)
&&Other Public Adminis (54%)
&&Mining (36%)","&&FY17 - Private Sector Development
&&FY17 - Public Sector Management
&&FY17 - Social Development and Protection
&&FY17 - Human Development and Gender
&&FY17 - Urban and Rural Development
&&FY17 - Environment and Natural Resource Management","&&FY17 - Business Enabling Environment (25%)
&&FY17 - Public Administration (33%)
&&FY17 - Social Inclusion (25%)
&&FY17 - Fragility, Conflict and Violence (29%)
&&FY17 - Gender (53%)
&&FY17 - Disease Control (41%)
&&FY17 - Rural Development (89%)
&&FY17 - Disaster Risk Management (93%)
&&FY17 - Climate change (8%)","&&FY17 - Transparency, Accountability and Good Governance (12%)
&&FY17 - Municipal Institution Building (29%)
&&FY17 - Participation and Civic Engagement (25%)
&&FY17 - Conflict Prevention (29%)
&&FY17 - Pandemic Response (41%)
&&FY17 - Land Administration and Management (83%)
&&FY17 - Geospatial Services (48%)
&&FY17 - Land Policy and Tenure (21%)
&&FY17 - Disaster Response and Recovery (51%)
&&FY17 - Disaster Preparedness (28%)
&&FY17 - Flood and Drought Risk Management (93%)
&&FY17 - Mitigation (5%)
&&FY17 - Adaptation (3%)"
P170482,Communal Climate Action and Landscapes,Yasmina Oodally (ADM),"Environment, Natural Resources & the Blue Economy",AFW,Burkina Faso,2022,PE,Actual,"&&Agriculture (24%)
&&Public Admin (61%)
&&Industry & Trade/Ser (15%)","&&PA Agri,Fish&Forest (15%)
&&Forestry (9%)
&&Other Public Adminis (61%)
&&Agricultural markets (15%)","&&FY17 - Private Sector Development
&&FY17 - Social Development and Protection
&&FY17 - Human Development and Gender
&&FY17 - Urban and Rural Development
&&FY17 - Environment and Natural Resource Management","&&FY17 - Jobs (62%)
&&FY17 - Enterprise Development (45%)
&&FY17 - Fragility, Conflict and Violence (62%)
&&FY17 - Disease Control (29%)
&&FY17 - Nutrition and Food Security (100%)
&&FY17 - Rural Development (87%)
&&FY17 - Climate change (87%)
&&FY17 - Renewable Natural Resources Asset Management (83%)
&&FY17 - Environmental policies and institutions (22%)","&&FY17 - Job Creation (62%)
&&FY17 - Entrepreneurship (19%)
&&FY17 - MSME Development (30%)
&&FY17 - Conflict Prevention (62%)
&&FY17 - Pandemic Response (29%)
&&FY17 - Food Security (100%)
&&FY17 - Rural Markets (30%)
&&FY17 - Land Administration and Management (25%)
&&FY17 - Land Policy and Tenure (62%)
&&FY17 - Mitigation (74%)
&&FY17 - Adaptation (13%)
&&FY17 - Forests Policies and institutions (83%)
&&FY17 - Landscape Management (25%)"
