Project_Id2,Project_Legal_Name2,Project__2,Region_Code2,Country_Name2,Practice_Group_Code2,Responsible_VPU2,Responsible_Department2,Global_Practice_Name2,Contributing_GP_Global_Themes2,Staff_Full_Name2,Team_Leaders2,Requesting_Unit2,Responsible_Unit2,FY_Number2,Fiscal_Quarter_Name2,Project_Probability_Code_,Approval_Authority_Flag2,Board_Schedule_Status2,Project_Decision_Meeting_Type_Name_,Project_Full_Board_Discussion_Flag_,Product_Line_Code2,Lendng_Instrument_Instrument_Type_Name_,P4R_With_IPF_Indicator2,Processing_Track_Indicator2,MPA2,Additional_Financing_Flag2,FCC_Indicator2,Emergency_Flag2,Emergency_Response2,Parent_Project_Id2,Environment_Assessment_Code2,Frame_Work2,ESRC__from_ESMS_2,Environmental_Risk_Name2,Project_Environment_Social_Risk_Name_,Project_Overall_Risk_,Project_Volcker_Trigger_Indicator_,Project_Last_Stage_Reached_,Total_Commitment1,IBRD_Total_Commitment1,IDA_Total_Commitment1,Others_Total_Commitment1,PE_Cofinance1,AIS_Sign_Off_Date2,Concept_Review_Date2,Concept_Review_Status2,Disclosure_Of_Concept_PID_Date2,Concept_ESRS_Date2,Quality_Enhancement_Review_Date2,Project_Milestone_Decision_Review_Date_,Decision_Review_Status2,Disclosure_Of_Appraisal_PID_Date2,Appraisal_ESRS_Date2,Begin_Appraisal_Date2,Begin_Appraisal_Status2,Authorize_Negotiations_Date2,Authorize_Negotiations_Status2,SECPO_Date2,SECPO_Status2,Project_Milestone_Approval_Date_,Approval_Status2,FY_Exp__BB___TF1,Cum__Exp__BB___TF1,DDO2,CATASTROPHE_DDO_FLAG2,IPF_Fragile_State_Indicator2,IPF_Fragile_With_Non_Fragile_Country_Indicator2,FCC_Small_States_Indicator2,FCC_Post_Conflict_Indicator2,FCC_Disaster_Indicator2,Financial_Intermediaries2,Performance_Based_Conditions2,Contingent_Emergency_Response_Component2,Alternative_Procurement_Arrangement2,Series_of_Projects__SOP_2,Textbox171,Textbox7,Textbox81,Textbox83,Textbox85,Textbox87,Textbox89,Textbox127,Textbox129
P176707,Additional Financing for the Energy Access and Quality Improvement Project,1,AFE,Rwanda,GGIVP,AFEVP,IAEDR,Energy & Extractives,Climate Change,"Fernstrom, Erik Magnus",Norah Kipwola (ADM);Yabei Zhang;Arun Singh,AECE2,IAEE1,2022,Q4,A,RVP,NA,Decision Meeting,,RE,IPF,N/A,N/A,N,Y,,N,,P172594,,ESF,,,,,,Bank Approved,$14.36M,$0.00M,$0.00M,$14.36M,$0.00M,08-Nov-2021,,,,,,25-May-2022,A,09-Jun-2022,04-Jan-2023,01-Jun-2022,A,15-Jun-2022,A,13-May-2022,R,28-Jun-2022,A,,,N,,,,,,,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P175385,Second Additional Financing to the OECS Regional Health Project,1,LCR,Caribbean,GGHVP,LCRVP,HLCDR,"Health, Nutrition & Population",,"Dmytraczenko, Tania",Carolyn Shelton (ADM);Neesha Harnam,LCC3C,HLCHN,2021,Q2,A,RVP,NA,Decision Meeting,,RE,IPF,N/A,N/A,N,Y,,N,,P168539,B,Safeguards,,,,,,Bank Approved,$0.94M,$0.00M,$0.00M,$0.94M,$0.00M,22-Oct-2020,,,,,,04-Nov-2020,A,10-Nov-2020,25-Nov-2020,10-Nov-2020,A,11-Nov-2020,R,,,25-Nov-2020,A,,,N,,,,Yes,,Yes,No,,Yes,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P176779,Public Financial Management Reforms for Institutional Strengthening Project  - AF,1,AFW,Liberia,GGEVP,AFWVP,EAWDR,Governance,,"Lane, Tracey M.",MacDonald Nyazvigo (ADM);Runyararo Senderayi,AWCW1,EAWG2,2023,Q1,A,RVP,NA,Decision Meeting,,RE,IPF,N/A,N/A,N,Y,,N,,P165000,C,Safeguards,,,,,,Bank Approved,$2.11M,$0.00M,$0.00M,$2.11M,$0.00M,26-May-2021,,,,,,13-May-2022,A,31-May-2022,09-Sep-2022,18-May-2022,A,16-Jun-2022,A,16-Sep-2021,O,09-Sep-2022,A,,,N,,,,,,,No,Yes,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P179056,SINT MAARTEN: SECOND ADDITIONAL FINANCING - EMERGENCY RECOVERY PROJECT I,0,LCR,St Maarten,GGIVP,LCRVP,ILCDR,"Urban, Resilience and Land",Energy & Extractives Education Water,"Ranghieri, Federica",Suranga Kahandawa (ADM),LCC3C,ILCUR,2023,Q4,A,RVP,NA,Decision Meeting,,RE,IPF,N/A,N/A,N,Y,,N,,P167339,B,Safeguards,,,,,,Bank Approved,$19.50M,$0.00M,$0.00M,$19.50M,$0.00M,09-Jun-2022,,,,,,16-Feb-2023,A,02-Mar-2023,02-Mar-2023,20-Feb-2023,R,06-Mar-2023,A,24-Mar-2023,R,11-May-2023,A,,,N,,,,Yes,,,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P178920,ENGAGING CITIZENS TO IMPROVE SERVICE DELIVERY THROUGH SOCIAL ACCOUNTABILITY AF,1,EAP,Cambodia,GGSVP,EAPVP,SEADR,Social Sustainability and Inclusion,"Education Governance Health, Nutrition & Population Social Protection & Jobs","Wiederhofer, Ingo",Benjamin Burckhart (ADM),EAVCL,SEAS1,2023,Q4,A,RVP,NA,Decision Meeting,,RE,IPF,N/A,N/A,N,Y,,N,,P172630,,ESF,,,,,,Bank Approved,$6.00M,$0.00M,$0.00M,$6.00M,$0.00M,04-Aug-2022,,,,,,09-May-2023,A,06-Jun-2023,23-Jun-2023,25-May-2023,A,18-Jun-2023,A,,,30-Jun-2023,A,,,N,,,,,,,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P177535,Additional Financing for the Burkina Faso COVID-19 Preparedness and Response Project,1,AFW,Burkina Faso,GGHVP,AFWVP,HAWDR,"Health, Nutrition & Population",,"Zine Eddine El Idrissi, My Driss",Moussa Dieng (ADM),AWCW3,HAWH2,2022,Q4,A,RVP,Draft,Regional Operations,,PE,IPF,N/A,N/A,Y,Y,,Y,,P173858,,ESF,,,,,,Bank Approved,$48.30M,$0.00M,$48.30M,$0.00M,$13.00M,31-Aug-2021,,,,,,02-Dec-2021,A,28-Feb-2022,28-Jun-2022,12-Jan-2022,R,04-Jun-2022,A,,,28-Jun-2022,A,,,N,,Yes,,,Yes,Yes,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P180475,Additional Financing for Honduras Restoring Essential Services for Health and Advancing Preparedness for Emergencies Project,1,LCR,Honduras,GGHVP,LCRVP,HLCDR,"Health, Nutrition & Population",,"Dmytraczenko, Tania",Courtney Ivins (ADM);Nicolas Collin Dit De Montesson,LCC2C,HLCHN,2023,Q4,A,RVP,NA,Decision Meeting,,RE,IPF,N/A,N/A,N,Y,,N,,P176532,,ESF,,,,,,Bank Approved,$7.00M,$0.00M,$0.00M,$7.00M,$0.00M,06-Jan-2023,,,,,,04-May-2023,A,31-May-2023,31-May-2023,31-May-2023,A,08-Jun-2023,A,,,22-Jun-2023,A,,,N,,,,,,,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P172731,Ho Chi Minh Green Transport Development Project,1,EAP,Viet Nam,GGIVP,EAPVP,IEADR,Transport,"Urban, Resilience and Land","Eijbergen, Benedictus",Jung Oh (ADM);Van Anh Thi Tran;Shigeyuki Sakaki,EAVCL,IEAT1,2020,Q3,A,RVP,NA,,,RE,IPF,N/A,N/A,N,Y,,N,,P126507,B,Safeguards,,,,S,,Bank Approved,$10.50M,$0.00M,$0.00M,$10.50M,$0.00M,25-Oct-2019,,,,,,20-Jan-2016,A,09-Jan-2020,,25-Jan-2016,A,08-Jan-2020,A,,,14-Jan-2020,A,,,N,,,,,,,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P174299,Cabo Verde: COVID-19 Response PEF Additional Financing,1,AFW,Cabo Verde,GGHVP,AFWVP,HAWDR,"Health, Nutrition & Population",Social Protection & Jobs,"Zine Eddine El Idrissi, My Driss",Edson Araujo (ADM),AWCF1,HAWH2,2021,Q1,A,RVP,NA,Regional Operations,,RE,IPF,N/A,N/A,Y,Y,,N,,P173857,,ESF,,,,,,Bank Approved,$0.94M,$0.00M,$0.00M,$0.94M,$0.00M,25-Jun-2020,,,,,,17-Jul-2020,R,19-Aug-2020,03-Sep-2020,,,20-Aug-2020,A,,,03-Sep-2020,A,,,N,,,,Yes,,Yes,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P174457,AF MALI COVID-19 Emergency Response Project,1,AFW,Mali,GGHVP,AFWVP,HAWDR,"Health, Nutrition & Population",,"Zine Eddine El Idrissi, My Driss",Jean Taptue Fotso (ADM);Haidara Ousmane Diadie;Patrick Eozenou,AWCW3,HAWH2,2021,Q3,A,RVP,NA,,,RE,IPF,N/A,N/A,Y,Y,,Y,,P173816,,ESF,,,,,,Bank Approved,$3.39M,$0.00M,$0.00M,$3.39M,$0.00M,16-Jun-2020,,,,,,18-Dec-2020,A,26-Dec-2020,21-Jan-2021,23-Dec-2020,A,04-Jan-2021,A,21-Jan-2021,A,21-Jan-2021,A,,,N,,Yes,,,Yes,Yes,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P174605,Additional Financing to Cambodia COVID-19 Emergency Response Project,1,EAP,Cambodia,GGHVP,EAPVP,HEADR,"Health, Nutrition & Population",,"Mutasa, Ronald Upenyu",Nareth Ly (ADM);Ziauddin Hyder,EAVCL,HEAH1,2021,Q1,A,RVP,NA,Decision Meeting,,RE,IPF,N/A,N/A,Y,Y,,N,,P173815,,ESF,,,,,,Bank Approved,$1.15M,$0.00M,$0.00M,$1.15M,$0.00M,,,,,,,28-Jul-2020,A,11-Aug-2020,15-Sep-2020,11-Aug-2020,A,13-Aug-2020,A,,,15-Sep-2020,A,,,N,,,,,,Yes,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P179043,Ulaanbaatar Sustainable Urban Transport Project Additional Financing,1,EAP,Mongolia,GGIVP,EAPVP,IEADR,Transport,,"Eijbergen, Benedictus",Noroarisoa Rabefaniraka (ADM);Yang Chen,EACMK,IEAT1,2022,Q4,A,RVP,NA,Decision Meeting,,RE,IPF,N/A,N/A,N,Y,,N,,P174007,,ESF,,,,,,Bank Approved,$2.70M,$0.00M,$0.00M,$2.70M,$0.00M,21-Apr-2022,,,,,,18-May-2022,A,20-May-2022,28-Jun-2022,24-May-2022,A,14-Jun-2022,A,,,28-Jun-2022,A,,,N,,,,,,,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P177008,Second Additional Financing to Republic of Congo COVID-19 Emergency Response Project,1,AFW,"Congo, Republic of",GGHVP,AFWVP,HAWDR,"Health, Nutrition & Population",,"Hasan, Rifat Afifa",Lombe Kasonde (ADM),AWCC1,HAWH3,2022,Q3,A,RVP,NA,Decision Meeting,,RE,IPF,N/A,N/A,Y,Y,,Y,,P173851,,ESF,,,,,,Bank Approved,$3.00M,$0.00M,$0.00M,$3.00M,$0.00M,17-Jun-2021,,,,,,27-Aug-2021,A,12-Nov-2021,23-Mar-2022,15-Nov-2021,A,14-Dec-2021,A,,,23-Mar-2022,A,,,N,,Yes,,,,Yes,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P176643,"Second Additional Financing to the Regional Disease Surveillance Systems Enhancement Project in West Africa, Phase I",0,AFW,Western and Central Africa,GGHVP,AFWVP,HAWDR,"Health, Nutrition & Population",Agriculture and Food,"Hasan, Rifat Afifa",Moussa Dieng (ADM);Andre Carletto;Yohana Dukhan;Zenab Konkobo Kouanda,AFWRI,HAWH3,2023,Q2,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,N/A,N,Y,,N,,P154807,B,Safeguards,,,,S,,Bank Approved,$12.00M,$0.00M,$12.00M,$0.00M,$0.00M,06-Apr-2021,,,,,,16-Nov-2021,A,21-Dec-2021,06-Dec-2022,16-Dec-2021,A,22-Oct-2022,A,10-Nov-2022,A,06-Dec-2022,A,,,N,,,,,,,No,,Yes,No,Yes,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P178989,Sudan Emergency Safety Nets Project,1,AFE,Sudan,GGHVP,AFEVP,HAEDR,Social Protection & Jobs,,"Chase, Robert S.",Endashaw Gossa (ADM),AECE3,HAES1,2023,Q1,A,RVP,NA,,,RE,IPF,N/A,2,N,N,Y,N,,,,ESF,Substantial,Moderate,Substantial,H,,Bank Approved,$100.00M,$0.00M,$0.00M,$100.00M,$0.00M,26-Apr-2022,,,,,,23-May-2022,A,05-Jun-2022,15-Jul-2022,23-May-2022,R,08-Jul-2022,A,,,15-Jul-2022,A,,,N,,Yes,,,Yes,Yes,No,,No,Yes,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P178747,AF Strengthening DRM and Climate Resilience Project,0,LCR,Haiti,GGIVP,LCRVP,ILCDR,"Urban, Resilience and Land",,"Ranghieri, Federica",Naraya Carrasco (ADM),LCC3C,ILCUR,2022,Q4,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,N/A,N,Y,,N,,P165870,B,Safeguards,,,,,,Bank Approved,$11.00M,$0.00M,$11.00M,$0.00M,$0.00M,29-Mar-2022,,,,,,15-Apr-2022,A,21-Apr-2022,26-May-2022,12-Apr-2022,A,22-Apr-2022,A,05-May-2022,A,26-May-2022,A,,,N,,Yes,,,,Yes,No,,Yes,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P176199,Additional Financing for the Emergency Social Protection and Jobs COVID-19 Response Project,1,MNA,West Bank and Gaza,GGHVP,MNAVP,HMNDR,Social Protection & Jobs,,"Ridao-Cano, Cristobal",Anastasiya Denisova (ADM);Samira Hillis;Cristobal Ridao-Cano,MNC04,HMNSP,2022,Q4,A,RVP,NA,Decision Meeting,,RE,IPF,N/A,N/A,N,Y,,Y,,P174078,,ESF,,,,,,Bank Approved,$9.42M,$0.00M,$0.00M,$9.42M,$0.00M,17-Jun-2021,,,,,,15-Dec-2021,A,22-Dec-2021,19-Apr-2022,22-Dec-2021,A,27-Jan-2022,A,28-Mar-2022,R,19-Apr-2022,A,,,N,,Yes,,,Yes,Yes,No,,Yes,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P177247,Additional Financing for Second Rwanda Urban Development Project,1,AFE,Rwanda,GGIVP,AFEVP,IAEDR,"Urban, Resilience and Land","Environment, Natural Resources & the Blue Economy","Ellis, Peter D.",Abebaw Alemayehu (ADM);Sheila Kamunyori;Hisham Osman Mohammed,AECE2,IAEU3,2022,Q4,A,RVP,NA,Decision Meeting,,RE,IPF,N/A,N/A,N,Y,,N,,P165017,,ESF,,,,,,Bank Approved,$10.23M,$0.00M,$0.00M,$10.23M,$0.00M,05-Aug-2021,,,,,,17-Dec-2021,A,07-Feb-2022,04-Apr-2022,03-Feb-2022,A,24-Feb-2022,A,,,04-Apr-2022,A,,,N,,,,,,,No,,Yes,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P172543,Albania Environmental Services Project,1,ECA,Albania,GGSVP,ECAVP,SCADR,"Environment, Natural Resources & the Blue Economy",,"Minasyan, Gayane",Drite Dade (ADM),ECCWB,SCAE2,2020,Q3,A,RVP,NA,,,RE,IPF,N/A,N/A,N,Y,,N,,P130492,B,Safeguards,,,,M,,Bank Approved,$2.00M,$0.00M,$0.00M,$2.00M,$0.00M,09-Oct-2019,,,,,,18-Dec-2019,A,16-Jan-2020,,16-Jan-2020,A,03-Feb-2020,A,,,27-Feb-2020,A,,,N,,,,,,,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P178710,AF to the Second Central America and Caribbean Catastrophe Risk Insurance Project,1,LCR,Latin America and Caribbean,GGIVP,LCRVP,ILCDR,"Urban, Resilience and Land","Environment, Natural Resources & the Blue Economy Finance, Competitiveness and Innovation","Ranghieri, Federica",Abigail Baca (ADM);Anna-Maria Bogdanova,LCC2C,ILCUR,2023,Q2,A,RVP,NA,Decision Meeting,,RE,IPF,N/A,N/A,N,Y,,N,,P175616,,ESF,,Low,,,,Bank Approved,$15.36M,$0.00M,$0.00M,$15.36M,$0.00M,04-Apr-2022,,,,,,30-May-2022,A,17-Jun-2022,17-Jun-2022,17-Jun-2022,A,01-Dec-2022,A,,,22-Dec-2022,A,,,N,,,,,,,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P176564,Second Additional Financing for the Second Agriculture Growth Project,1,AFE,Ethiopia,GGSVP,AFEVP,SAEDR,Agriculture and Food,,"Jungbluth, Frauke",Vikas Choudhary (ADM);Assaye Legesse;Hayalsew Yilma,AECE3,SAEA3,2021,Q4,A,RVP,NA,Decision Meeting,,RE,IPF,N/A,N/A,N,Y,,Y,,P148591,B,Safeguards,,,,,,Bank Approved,$5.00M,$0.00M,$0.00M,$5.00M,$0.00M,11-Mar-2021,,,,,,16-Apr-2021,A,21-May-2021,21-Jun-2021,29-Apr-2021,A,03-Jun-2021,A,24-Jun-2021,R,21-Jun-2021,A,,,N,,,,,,Yes,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P177087,Additional Financing for Financial Inclusion Support Project to Support COVID-19 Crisis Recovery,1,AFW,Burkina Faso,GGEVP,AFWVP,EAWDR,"Finance, Competitiveness and Innovation",,"Pearce, Douglas",Maria Pagura (ADM);Tenin Dicko,AWCW3,EAWF1,2021,Q4,A,RVP,NA,Decision Meeting,,RE,IPF,N/A,N/A,N,Y,,Y,,P164786,B,Safeguards,,,,,,Bank Approved,$10.00M,$0.00M,$0.00M,$10.00M,$0.00M,09-Jun-2021,,,,,,23-Jun-2021,A,25-Jun-2021,09-Jul-2021,14-Jun-2021,R,25-Jun-2021,A,,,30-Jun-2021,A,,,N,,Yes,,,Yes,,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P176212,Additional Financing to Cambodia COVID-19 Emergency Response Project,1,EAP,Cambodia,GGHVP,EAPVP,HEADR,"Health, Nutrition & Population",,"Mutasa, Ronald Upenyu",Nareth Ly (ADM);Ziauddin Hyder,EAVCL,HEAH1,2021,Q4,A,RVP,NA,Regional Operations,,RE,IPF,N/A,N/A,Y,Y,,Y,,P173815,,ESF,,,,,,Bank Approved,$3.50M,$0.00M,$0.00M,$3.50M,$0.00M,04-Feb-2021,,,,,,29-Apr-2021,A,31-May-2021,25-Jun-2021,16-Jun-2021,A,18-Jun-2021,A,21-Jul-2021,A,25-Jun-2021,A,,,N,,,,,,Yes,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P177149,Corredor Seco Food Security Project Additional Financing,1,LCR,Honduras,GGSVP,LCRVP,SLCDR,Agriculture and Food,,"Arias Carballo, Diego",Augusto Garcia (ADM);Viviana Perego,LCC2C,SLCAG,2021,Q4,A,RVP,NA,Decision Meeting,,RE,IPF,N/A,N/A,N,Y,,Y,,P148737,B,Safeguards,,,,,,Bank Approved,$5.00M,$0.00M,$0.00M,$5.00M,$0.00M,14-Jun-2021,,,,,,25-Jun-2021,A,24-Jun-2021,29-Jun-2021,25-Jun-2021,A,28-Jun-2021,A,,,29-Jun-2021,A,,,N,,,Yes,,,Yes,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P176856,Lao PDR Competitiveness and Trade Project - Additional Financing,1,EAP,Lao People's Democratic Republic,GGEVP,EAPVP,EEADR,"Macroeconomics, Trade and Investment","Finance, Competitiveness and Innovation","Eckardt, Sebastian",Konesawang Nghardsaysone (ADM),EAVCL,EEAM1,2021,Q4,A,RVP,NA,Decision Meeting,,RE,IPF,N/A,N/A,N,Y,,Y,,P164813,C,Safeguards,,,,,,Bank Approved,$2.72M,$0.00M,$0.00M,$2.72M,$0.00M,28-Apr-2021,,,,,,27-May-2021,A,08-Jun-2021,25-Jun-2021,27-May-2021,A,17-Jun-2021,A,,,25-Jun-2021,A,,,N,,Yes,,,,Yes,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P168908,Additional grant for West Africa Coastal  Area  Resilience Investment Project,1,AFW,Western and Central Africa,GGSVP,AFWVP,SAWDR,"Environment, Natural Resources & the Blue Economy","Climate Change Urban, Resilience and Land","Baroudy, Ellysar",Nicolas Desramaut (ADM);Peter Kristensen,AFWRI,SAWE1,2021,Q2,A,BOA,Board Approved,Regional Operations,,GE,IPF,N/A,N/A,N,Y,,N,,P162337,A,Safeguards,,,,,,Bank Approved,$6.00M,$0.00M,$0.00M,$6.00M,$0.00M,27-Dec-2019,,,,,,30-Mar-2020,A,16-Apr-2020,,14-Apr-2020,A,14-Oct-2020,A,,,01-Dec-2020,A,,,N,,,,Yes,,,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P172654,AF - Liberia: Public Financial Management Reforms for Institutional Strengthening,1,AFW,Liberia,GGEVP,AFWVP,EAWDR,Governance,,"Lane, Tracey M.",Donald Mphande (ADM);MacDonald Nyazvigo,AWCW1,EAWG2,2021,Q1,A,RVP,NA,Decision Meeting,,RE,IPF,N/A,N/A,N,Y,,N,,P165000,C,Safeguards,,,,,,Bank Approved,$4.50M,$0.00M,$0.00M,$4.50M,$0.00M,16-Dec-2019,,,,,,03-Feb-2020,A,08-Apr-2020,,02-Mar-2020,A,30-Jun-2020,A,,,11-Aug-2020,A,,,N,,Yes,,,,,No,Yes,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P173225,SINT MAARTEN: AF - EMERGENCY RECOVERY PROJECT I,1,LCR,St Maarten,GGIVP,LCRVP,ILCDR,"Urban, Resilience and Land",Energy & Extractives Water,"Ranghieri, Federica",Suranga Kahandawa (ADM),LCC3C,ILCUR,2021,Q4,A,RVP,NA,Decision Meeting,,RE,IPF,N/A,N/A,N,Y,,N,,P167339,B,Safeguards,,,,,,Bank Approved,$45.00M,$0.00M,$0.00M,$45.00M,$0.00M,30-Dec-2019,,,,,,20-Nov-2020,A,17-Mar-2021,,23-Nov-2020,A,19-Feb-2021,A,,,28-Apr-2021,A,,,N,,,,Yes,,Yes,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P177843,Additional Financing to Emergency Locust Response Project,1,AFE,Eastern and Southern Africa,GGSVP,AFEVP,SAEDR,Agriculture and Food,,"Jungbluth, Frauke",Melissa Williams (ADM);Mohammad Alvi;Vinay Vutukuru;Welela Ketema;Eva Hasiner,AFERI,SAEA3,2022,Q3,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,N/A,Y,Y,,Y,,P173702,,ESF,,,,,,Bank Approved,$35.00M,$0.00M,$35.00M,$0.00M,$0.00M,11-Nov-2021,,,,,,21-Dec-2021,A,21-Jan-2022,17-Mar-2022,29-Nov-2021,A,27-Jan-2022,A,03-Mar-2022,A,17-Mar-2022,A,,,N,,Yes,Yes,,Yes,Yes,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P179456,Second Additional Financing for Public Expenditures for Administrative Capacity Endurance (PEACE) in Ukraine,1,ECA,Ukraine,GGEVP,ECAVP,EECDR,Governance,"Macroeconomics, Trade and Investment","Fozzard, Adrian",Oleksii Balabushko (ADM);Karlis Smits;Ana Bellver Vazquez-Dodero,ECCEE,EECG1,2023,Q1,A,RVP,Draft,Regional Operations,,RE,IPF,N/A,N/A,N,Y,,N,,P178946,,ESF,,,,,,Bank Approved,"$4,500.00M",$0.00M,$0.00M,"$4,500.00M",$0.00M,08-Jul-2022,,,,,,14-Jul-2022,A,19-Jul-2022,02-Aug-2022,15-Jul-2022,A,20-Jul-2022,R,,,02-Aug-2022,A,,,N,,,Yes,,Yes,Yes,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P177371,Additional Financing for the Growing Up and Learning Together: Comprehensive Early Childhood Development in El Salvador Project,1,LCR,El Salvador,GGHVP,LCRVP,HLCDR,Education,,"Blom, Andreas",Maria Bendini (ADM);Marcela Silveyra de la Garza,LCC2C,HLCED,2023,Q2,A,RVP,NA,Decision Meeting,,RE,IPF,N/A,N/A,N,Y,,N,,P171316,,ESF,,Moderate,,,,Bank Approved,$14.25M,$0.00M,$0.00M,$14.25M,$0.00M,03-Nov-2021,,,,,,01-Apr-2022,A,10-May-2022,10-May-2022,04-May-2022,A,02-Nov-2022,A,10-Mar-2022,O,22-Dec-2022,A,,,N,,,,,,,No,Yes,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P163835,CAFI AF Forest Dependent Communities Project,1,AFE,"Congo, Democratic Republic of",GGSVP,AFEVP,SAEDR,"Environment, Natural Resources & the Blue Economy","Agriculture and Food Climate Change Fragile, Conflict & Violence Urban, Resilience and Land","Lagnaoui, Abdelaziz",Loic Braune (ADM),AECC2,SAEE3,2021,Q4,A,RVP,NA,Decision Meeting,,RE,IPF,N/A,N/A,N,Y,,N,,P149049,B,Safeguards,,,,H,,Bank Approved,$1.80M,$0.00M,$0.00M,$1.80M,$0.00M,10-Oct-2017,,,,,,13-Dec-2019,A,09-Mar-2020,05-Apr-2021,11-Feb-2020,A,26-Apr-2020,A,,,05-Apr-2021,A,,,N,,,,,,,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
